Time, Nose_Acceleration
1.50504,180963.2
1.536344,742.7241
1.553747,1828.291
1.594716,173959.8
1.625802,183.2673
1.670062,11254.66
1.690908,31004.04
1.731111,715.4946
1.766839,122.885
1.80275,237.0533
1.83052,418.804
1.863012,856.8305
1.89216,214.4869
1.93014,121.9079
1.95806,2715.867
1.99281,264.0431
2.025804,326.4765
2.065733,255.9692
2.097706,2828.77
2.134626,650.7511
2.16595,550.7137
2.199162,260.3414
2.232747,533.9001
2.264527,485.7191
2.296927,577.2361
2.331166,230.4944
2.362757,304.7354
2.398151,487.1403
2.433692,314.0011
2.470123,250.5204
2.501185,322.9235
2.536638,259.2137
2.563098,379.2045
2.600589,315.9061
2.631046,341.5014
2.666334,485.9608
2.700877,337.9948
2.736529,532.0344
2.77033,513.3256
2.806387,1162.031
2.839471,832.2014
2.877653,1174.544
2.911422,1424.164
2.946938,1840.128
2.977929,1575.109
3.014647,1503.405
3.050416,921.52
3.082414,827.3448
3.112685,840.1832
3.14488,809.3572
3.179529,890.0232
3.213739,904.0522
3.244714,1330.248
3.279222,1351.682
3.310216,1570.818
3.342746,1961.395
3.378157,2537.92
3.410788,1621.205
3.445691,2044.437
3.478946,1986.34
3.514533,1728.692
3.546054,1594.766
3.581457,1248.189
3.613534,908.5172
3.651807,605.6782
3.684927,283.697
3.715176,208.0127
3.747881,271.9467
3.783113,221.4145
3.81376,279.6592
3.855159,335.1018
3.87806,428.1187
3.912611,383.5432
3.949348,393.8581
3.985799,543.466
4.019648,382.3675
4.05343,755.0403
4.084665,512.1483
4.120421,659.4833
4.151841,666.137
4.187464,1316
4.219724,636.5873
4.257702,730.3194
4.286107,773.7929
4.321071,880.9918
4.349081,939.167
4.384329,903.686
4.421647,1062.315
4.453145,1212.747
4.485907,847.2533
4.517342,1107.138
4.556408,729.5353
4.589903,733.71
4.622166,905.8411
4.658323,776.8416
4.692599,646.1179
4.728683,1060.281
4.761454,520.666
4.794768,750.1969
4.827421,543.5345
4.864605,259.2182
4.897431,448.3653
4.9309,371.8351
4.962714,332.8617
4.998647,303.6417
5.030107,120.0383
5.064409,179.2662
5.096447,208.1117
5.128448,146.5545
5.161308,133.0821
5.194225,73.15452
5.23107,89.35395
5.268715,73.19613
5.296081,125.1535
5.330471,75.64931
5.363462,85.5264
5.40153,71.41059
5.430341,93.45406
5.463287,54.77939
5.498091,67.9332
5.533383,108.0752
5.566521,86.0814
5.603889,72.86862
5.635911,98.70238
5.663116,92.26531
5.701914,49.51942
5.733387,87.57707
5.765009,43.48567
5.799568,183.5567
5.831427,202.6298
5.865765,146.4412
5.896794,237.3672
5.932235,104.4403
5.965713,115.4058
5.999713,214.8441
6.032424,141.4993
6.067657,175.8002
6.099036,150.9178
6.136111,107.9986
6.171978,167.7834
6.204519,240.7335
6.236707,310.0824
6.271898,361.4075
6.307307,250.5471
6.342613,160.4917
6.377769,183.2511
6.414872,139.9908
6.45314,117.0385
6.492623,19.6335
6.521217,85.1971
6.55278,70.0113
6.589217,63.26249
6.626886,57.57246
6.659685,43.93878
6.694201,89.34945
6.725458,111.8411
6.75803,163.0824
6.791306,135.3603
6.827363,98.56732
6.860328,60.992
6.892272,52.72575
6.927761,65.31692
6.961117,74.17039
6.999062,87.00083
7.030379,136.7556
7.063435,127.5496
7.09792,87.47185
7.128648,135.2665
7.165918,308.6459
7.201575,317.3121
7.234078,145.6223
7.267439,72.49521
7.30303,187.3512
7.335096,230.365
7.371006,135.5417
7.406827,183.8878
7.441122,116.372
7.475825,178.7527
7.511358,135.1001
7.544881,125.6307
7.581915,129.2589
7.618244,141.078
7.654403,223.5221
7.690279,310.1947
7.722167,131.9639
7.757989,564.5694
7.794088,259.5267
7.828887,339.1814
7.861019,363.0804
7.897828,331.5551
7.931393,220.4501
7.966238,235.1295
7.998507,192.7633
8.031816,143.9153
8.067948,170.893
8.102429,155.6898
8.134361,173.3666
8.169208,263.4372
8.202638,228.9441
8.234674,298.9477
8.27011,225.6972
8.306341,217.2429
8.338902,132.7849
8.371291,80.90296
8.403549,105.9098
8.440043,157.5278
8.47192,278.037
8.507734,334.6849
8.54018,398.0356
8.580856,497.2883
8.606754,621.9692
8.640844,1051.971
8.677922,699.3218
8.709458,767.0333
8.741909,1155.007
8.778449,1082.19
8.814566,1069.08
8.850333,1447.913
8.883898,1155.949
8.919714,1427.358
8.955318,1284.312
8.986584,1618.812
9.018457,1268.15
9.054518,1360.496
9.092321,1345.314
9.124497,882.6329
9.160652,985.4484
9.196793,639.2224
9.231955,571.2144
9.264508,559.973
9.305629,469.3836
9.338034,421.0074
9.377733,642.0347
9.41039,326.8071
9.445821,224.0774
9.48117,287.8472
9.516063,137.8459
9.548945,30.01485
9.585188,109.5751
9.616914,85.46259
9.652282,189.0656
9.687609,198.9089
9.724254,492.972
9.759755,19.70305
9.789574,529.1495
9.825217,891.351
9.862797,549.9779
9.890396,720.8721
9.925343,1472.975
9.962103,930.9296
9.996546,1137.286
10.03042,950.272
10.06721,1247.176
10.09803,1082.519
10.13323,1907.194
10.16539,1231.125
10.20196,1171.734
10.23393,881.2473
10.26677,950.5823
10.302,1044.965
10.33659,753.8456
10.36825,653.8121
10.40073,726.7175
10.43485,512.6396
10.46677,514.6183
10.50285,537.4733
10.53932,566.8481
10.56759,1090.785
10.60214,1621.072
10.63823,1034.19
10.67084,1302.51
10.70253,1408.088
10.73447,1082.525
10.76969,705.9977
10.80246,494.6607
10.83547,411.0707
10.86823,429.0094
10.90223,242.9755
10.93581,352.1055
10.97163,213.3763
11.00445,177.2146
11.0358,141.9545
11.06726,143.7941
11.10086,132.6529
11.13691,95.89228
11.16946,155.5371
11.20202,130.0596
11.23534,149.9108
11.26714,250.7375
11.29912,396.7065
11.33573,621.0534
11.36849,700.94
11.40331,1548.833
11.43489,1494.878
11.46721,1143.092
11.50043,1634.475
11.53296,1052.285
11.56502,921.6302
11.6018,717.4153
11.63521,526.4852
11.66653,536.2785
11.70225,189.937
11.7343,181.4296
11.77205,66.94772
11.80022,91.15654
11.83644,111.3107
11.86888,106.6794
11.90168,123.8688
11.93469,124.7156
11.96663,100.0132
11.99945,97.01889
12.03461,80.87569
12.06953,137.6906
12.1021,98.59115
12.13721,117.8764
12.16864,123.0659
12.20041,237.9585
12.23272,197.0937
12.26457,213.6794
12.30231,180.6839
12.33715,260.2653
12.37287,252.0475
12.40598,350.8574
12.44184,195.9297
12.47759,173.483
12.50935,142.7787
12.54068,137.3447
12.5807,131.1906
12.61509,136.3567
12.65102,56.73109
12.68062,60.13845
12.71468,38.6215
12.75219,136.6544
12.78899,124.8758
12.82606,88.29816
12.85867,123.7994
12.89363,144.4256
12.92839,95.58627
12.96105,104.0025
12.99606,240.8131
13.03269,143.9749
13.06991,251.588
13.10131,250.4207
13.13727,360.3885
13.17013,339.2956
13.20632,456.21
13.23573,382.3855
13.27192,285.6245
13.30562,606.2512
13.33922,250.7897
13.37295,142.6531
13.40671,230.0594
13.43851,137.472
13.46758,94.83661
13.50691,133.2087
13.53896,65.48493
13.57178,82.64337
13.60476,22.79526
13.64073,89.90834
13.67714,93.36401
13.70732,89.3491
13.74188,99.65126
13.78078,74.35185
13.81378,90.46674
13.84774,241.824
13.88325,178.6166
13.91567,210.8017
13.94834,173.5165
13.98483,162.6848
14.02019,227.425
14.05542,211.6243
14.08875,252.4748
14.12462,215.1365
14.15798,167.7856
14.1892,245.815
14.22526,329.8241
14.26087,548.2054
14.29628,462.1577
14.32513,518.8016
14.36231,935.5682
14.39546,874.9369
14.42864,710.4188
14.46643,1179.806
14.50481,107.0887
14.53022,1330.022
14.56343,1620.165
14.60013,1275.364
14.63641,899.4969
14.6676,1164.413
14.70423,1217.842
14.74207,900.5353
14.77656,1415.491
14.81421,1091.846
14.84681,1000.324
14.88603,557.6794
14.91851,329.9885
14.95566,303.1427
14.99181,316.1225
15.02774,176.2914
15.06196,51.92863
15.0959,54.07348
15.1333,150.4107
15.16558,235.5196
15.19862,179.3228
15.23563,3181.662
15.26984,3702.839
15.30545,4398.723
15.34143,1533.683
15.37942,3553.802
15.41149,4919.692
15.45073,3351.736
15.49079,139.1895
15.52648,33.15695
15.56392,39.15757
15.60278,25.65821
15.63979,10.76903
15.67235,11.77105
15.71234,25.31679
15.74775,9.832248
15.78468,9.204007
15.82269,18.45208
15.85556,83.48978
15.89816,109.1544
15.92947,302.7544
15.96351,264.6798
16.00144,390.7516
16.03782,343.9255
16.0792,191.0891
16.11243,2160.472
16.14848,1992.974
16.18604,2548.055
16.22135,2019.542
16.25937,263.6035
16.29473,401.2621
16.32807,563.2924
16.36395,1220.991
16.39456,1507.629
16.43008,1619.953
16.46973,1528.072
16.50103,1722.87
16.53407,1837.444
16.56527,1004.003
16.60163,1013.061
16.63111,761.016
16.67001,78.66434
16.69552,812.561
16.7258,1278
16.75912,868.4481
16.79141,705.8082
16.82597,971.3841
16.85799,554.788
16.89598,414.877
16.93141,476.5045
16.9624,308.6726
16.99501,684.9979
17.02619,553.1744
17.06544,302.6105
17.10083,526.9365
17.13303,1148.126
17.16581,115.6057
17.19875,198.2101
17.23265,202.9835
17.26359,499.783
