Time, Nose_X, Nose_Y, Nose_Z
1.50504,0.6155409,-0.4676262,4.253826
1.536344,0.8856451,0.01143497,3.777122
1.553747,0.8877098,0.03918286,3.766882
1.594716,-0.1159802,-0.0321288,1.395268
1.625802,-0.1122988,-0.03549204,1.401958
1.670062,0.2312014,-0.1066518,2.444849
1.690908,0.02818724,-0.1083396,1.958092
1.731111,0.02632189,-0.1078695,1.944506
1.766839,0.02437961,-0.1062297,1.942818
1.80275,0.02597306,-0.1048476,1.939149
1.83052,0.03076448,-0.10797,1.943377
1.863012,0.03235696,-0.111395,1.957634
1.89216,0.03446658,-0.1131836,1.956951
1.93014,0.0354325,-0.1134341,1.959101
1.95806,-0.008725059,-0.1181937,1.95394
1.99281,-0.005499528,-0.1162949,1.951112
2.025804,-0.00310329,-0.1133026,1.94964
2.065733,-0.002952854,-0.1108147,1.944322
2.097706,0.04928439,-0.1113989,1.946
2.134626,0.05687676,-0.1062549,1.936454
2.16595,0.0640472,-0.1044321,1.927322
2.199162,0.06742486,-0.1076956,1.9258
2.232747,0.06034179,-0.1127016,1.929708
2.264527,0.05702206,-0.1163447,1.937527
2.296927,0.04836484,-0.1191054,1.94198
2.331166,0.04592433,-0.117171,1.94295
2.362757,0.04527094,-0.1137698,1.946846
2.398151,0.03865971,-0.1115931,1.946885
2.433692,0.03676916,-0.1099795,1.951731
2.470123,0.03303089,-0.1088505,1.955608
2.501185,0.02811423,-0.1090741,1.95866
2.536638,0.02366618,-0.1099864,1.961554
2.563098,0.01788642,-0.1112468,1.961834
2.600589,0.01237006,-0.1116886,1.96032
2.631046,0.007647604,-0.1112634,1.956676
2.666334,0.00312117,-0.1104555,1.950227
2.700877,0.001337585,-0.1083251,1.942764
2.736529,-0.0008789509,-0.1061499,1.931993
2.77033,-0.001651794,-0.1042543,1.918488
2.806387,-0.0002065182,-0.101114,1.903008
2.839471,0.0009999365,-0.09788406,1.884104
2.877653,0.003440192,-0.09348881,1.863901
2.911422,0.008354371,-0.08648624,1.842792
2.946938,0.01462104,-0.07846592,1.820884
2.977929,0.02336642,-0.07034531,1.800402
3.014647,0.03330706,-0.06190543,1.77984
3.050416,0.042046,-0.05686427,1.761167
3.082414,0.05128567,-0.05479272,1.745857
3.112685,0.06097335,-0.05670113,1.736502
3.14488,0.06633238,-0.06482799,1.727724
3.179529,0.07004848,-0.07928348,1.719544
3.213739,0.07145713,-0.09929055,1.713428
3.244714,0.0692142,-0.1245502,1.705614
3.279222,0.07042816,-0.153167,1.703508
3.310216,0.07131443,-0.1837614,1.705404
3.342746,0.07120089,-0.2166211,1.707564
3.378157,0.06987958,-0.2506897,1.710564
3.410788,0.06716432,-0.2855901,1.714949
3.445691,0.06304616,-0.3200472,1.719427
3.478946,0.05889898,-0.3548792,1.724691
3.514533,0.05564418,-0.3869877,1.729307
3.546054,0.05262555,-0.4138557,1.734268
3.581457,0.05023433,-0.4348311,1.738791
3.613534,0.04847481,-0.448844,1.743683
3.651807,0.04598431,-0.4570721,1.748867
3.684927,0.04308113,-0.4611072,1.752364
3.715176,0.03945873,-0.4621653,1.755489
3.747881,0.03480291,-0.4613163,1.757622
3.783113,0.03047545,-0.4601362,1.758489
3.81376,0.02513001,-0.4606136,1.757196
3.855159,0.02044879,-0.4628624,1.755198
3.87806,0.01590269,-0.464542,1.751655
3.912611,0.01102191,-0.4661068,1.747242
3.949348,0.008140634,-0.4661233,1.741314
3.985799,0.006154175,-0.4655486,1.733935
4.019648,0.005748109,-0.466713,1.726052
4.05343,0.006564061,-0.4672859,1.717528
4.084665,0.00841033,-0.4689688,1.709863
4.120421,0.01119619,-0.4699496,1.70046
4.151841,0.01515168,-0.4693356,1.690183
4.187464,0.0214085,-0.4689148,1.679239
4.219724,0.02955384,-0.4685783,1.668326
4.257702,0.03990773,-0.4685071,1.658784
4.286107,0.05137274,-0.4673674,1.648679
4.321071,0.06514703,-0.467118,1.640509
4.349081,0.07954116,-0.466648,1.631036
4.384329,0.09409363,-0.4656207,1.619934
4.421647,0.1110607,-0.4671749,1.611162
4.453145,0.1259588,-0.4663256,1.60104
4.485907,0.1404964,-0.4655491,1.592285
4.517342,0.1546612,-0.4650994,1.584994
4.556408,0.1663328,-0.4630191,1.576789
4.589903,0.178833,-0.4626877,1.569214
4.622166,0.1907015,-0.4623897,1.561129
4.658323,0.2021338,-0.4628941,1.553076
4.692599,0.2126325,-0.4630695,1.545233
4.728683,0.2214351,-0.4632019,1.53583
4.761454,0.2279162,-0.4628227,1.528124
4.794768,0.2337584,-0.4609426,1.520452
4.827421,0.2381957,-0.459317,1.513103
4.864605,0.2410336,-0.4577989,1.50892
4.897431,0.2445345,-0.4553263,1.501576
4.9309,0.246189,-0.4539328,1.495943
4.962714,0.2471206,-0.4527164,1.491503
4.998647,0.2476491,-0.451887,1.485706
5.030107,0.2466799,-0.4520936,1.483578
5.064409,0.2459522,-0.452555,1.480862
5.096447,0.2456953,-0.4533641,1.47818
5.128448,0.2455007,-0.453756,1.476164
5.161308,0.2455001,-0.4541571,1.473733
5.194225,0.2452191,-0.4538054,1.472519
5.23107,0.2442114,-0.4529249,1.471404
5.268715,0.2430802,-0.4518759,1.471053
5.296081,0.2420181,-0.4506148,1.471906
5.330471,0.2414966,-0.4504273,1.473021
5.363462,0.2412263,-0.4508298,1.474131
5.40153,0.2412126,-0.4517394,1.475484
5.430341,0.2417408,-0.4533526,1.475983
5.463287,0.2413688,-0.4535779,1.476954
5.498091,0.2419357,-0.4543514,1.477324
5.533383,0.2426385,-0.4549141,1.478572
5.566521,0.242898,-0.455229,1.480106
5.603889,0.2432908,-0.4561051,1.48081
5.635911,0.2430876,-0.4566048,1.482646
5.663116,0.2428101,-0.4572493,1.48372
5.701914,0.2427187,-0.4580478,1.48466
5.733387,0.2418299,-0.4587082,1.485283
5.765009,0.241038,-0.4587851,1.485216
5.799568,0.2381613,-0.4587988,1.483381
5.831427,0.234976,-0.4590881,1.482636
5.865765,0.2322328,-0.4598112,1.481645
5.896794,0.228719,-0.460801,1.48054
5.932235,0.2267575,-0.4614357,1.480516
5.965713,0.2244955,-0.4609916,1.479229
5.999713,0.2211344,-0.4617271,1.477314
6.032424,0.2181143,-0.4620203,1.476667
6.067657,0.2153777,-0.4622647,1.476083
6.099036,0.2124573,-0.463132,1.47559
6.136111,0.2100833,-0.4622709,1.475139
6.171978,0.2066741,-0.4618391,1.474158
6.204519,0.2015601,-0.4614913,1.473551
6.236707,0.1965108,-0.4612085,1.472428
6.271898,0.191883,-0.4611055,1.472622
6.307307,0.188041,-0.4612506,1.471426
6.342613,0.1858462,-0.461548,1.469543
6.377769,0.1830614,-0.4607979,1.469444
6.414872,0.1802429,-0.4603245,1.469032
6.45314,0.1776385,-0.4598047,1.469161
6.492623,0.175478,-0.4594852,1.469892
6.521217,0.1739856,-0.4600421,1.469642
6.55278,0.1732073,-0.4610476,1.469222
6.589217,0.1726508,-0.4620144,1.469635
6.626886,0.1721177,-0.4628573,1.470108
6.659685,0.1721304,-0.4636544,1.470392
6.694201,0.1723226,-0.4638753,1.471638
6.725458,0.1733555,-0.4641164,1.473292
6.75803,0.1745722,-0.4641669,1.475312
6.791306,0.1759607,-0.4639212,1.477529
6.827363,0.1768757,-0.4639482,1.478921
6.860328,0.177307,-0.4636456,1.479831
6.892272,0.1777876,-0.4631394,1.48029
6.927761,0.1782114,-0.4633532,1.481302
6.961117,0.1788454,-0.4634574,1.482479
6.999062,0.1794436,-0.4637011,1.48419
7.030379,0.1796128,-0.4641944,1.486496
7.063435,0.17991,-0.4646433,1.488522
7.09792,0.1801759,-0.4648793,1.490477
7.128648,0.179591,-0.465007,1.492609
7.165918,0.1800965,-0.4689569,1.496725
7.201575,0.1818787,-0.4726548,1.499828
7.234078,0.1799361,-0.472906,1.501906
7.267439,0.1788033,-0.4739098,1.501678
7.30303,0.1770293,-0.4720286,1.499104
7.335096,0.1739228,-0.4697849,1.497666
7.371006,0.1755315,-0.4710012,1.497384
7.406827,0.1775028,-0.4717089,1.498122
7.441122,0.1796938,-0.4716261,1.498511
7.475825,0.1821201,-0.4718195,1.498634
7.511358,0.1840364,-0.4718588,1.498928
7.544881,0.1861724,-0.4718591,1.500072
7.581915,0.1883763,-0.4716812,1.501484
7.618244,0.1907555,-0.4715291,1.503448
7.654403,0.1931164,-0.4710991,1.506521
7.690279,0.1944387,-0.4703461,1.51102
7.722167,0.1949907,-0.4712623,1.513038
7.757989,0.1974011,-0.4745672,1.519075
7.794088,0.2020185,-0.4764335,1.518231
7.828887,0.2071134,-0.4772349,1.515717
7.861019,0.2130444,-0.4758509,1.516316
7.897828,0.2175536,-0.4716373,1.513206
7.931393,0.2197266,-0.4689842,1.515994
7.966238,0.2225869,-0.4670271,1.518819
7.998507,0.2257675,-0.4658434,1.520546
8.031816,0.2283586,-0.4648458,1.521228
8.067948,0.2314954,-0.4638363,1.521661
8.102429,0.233842,-0.4633996,1.521711
8.134361,0.2369283,-0.4624882,1.522213
8.169208,0.2403143,-0.4611751,1.522838
8.202638,0.243968,-0.4598512,1.523407
8.234674,0.2486031,-0.4582454,1.523453
8.27011,0.2529853,-0.4569512,1.524051
8.306341,0.2571517,-0.4560565,1.524221
8.338902,0.2598216,-0.4555898,1.524483
8.371291,0.2607925,-0.454183,1.524828
8.403549,0.2595949,-0.4529877,1.525707
8.440043,0.2573922,-0.4521777,1.528059
8.47192,0.2543981,-0.450899,1.531846
8.507734,0.2503218,-0.4522426,1.535747
8.54018,0.2449592,-0.4536986,1.539925
