Time, Nose_X
1.50504,0.6155409
1.536344,0.8856451
1.553747,0.8877098
1.594716,-0.1159802
1.625802,-0.1122988
1.670062,0.2312014
1.690908,0.02818724
1.731111,0.02632189
1.766839,0.02437961
1.80275,0.02597306
1.83052,0.03076448
1.863012,0.03235696
1.89216,0.03446658
1.93014,0.0354325
1.95806,-0.008725059
1.99281,-0.005499528
2.025804,-0.00310329
2.065733,-0.002952854
2.097706,0.04928439
2.134626,0.05687676
2.16595,0.0640472
2.199162,0.06742486
2.232747,0.06034179
2.264527,0.05702206
2.296927,0.04836484
2.331166,0.04592433
2.362757,0.04527094
2.398151,0.03865971
2.433692,0.03676916
2.470123,0.03303089
2.501185,0.02811423
2.536638,0.02366618
2.563098,0.01788642
2.600589,0.01237006
2.631046,0.007647604
2.666334,0.00312117
2.700877,0.001337585
2.736529,-0.0008789509
2.77033,-0.001651794
2.806387,-0.0002065182
2.839471,0.0009999365
2.877653,0.003440192
2.911422,0.008354371
2.946938,0.01462104
2.977929,0.02336642
3.014647,0.03330706
3.050416,0.042046
3.082414,0.05128567
3.112685,0.06097335
3.14488,0.06633238
3.179529,0.07004848
3.213739,0.07145713
3.244714,0.0692142
3.279222,0.07042816
3.310216,0.07131443
3.342746,0.07120089
3.378157,0.06987958
3.410788,0.06716432
3.445691,0.06304616
3.478946,0.05889898
3.514533,0.05564418
3.546054,0.05262555
3.581457,0.05023433
3.613534,0.04847481
3.651807,0.04598431
3.684927,0.04308113
3.715176,0.03945873
3.747881,0.03480291
3.783113,0.03047545
3.81376,0.02513001
3.855159,0.02044879
3.87806,0.01590269
3.912611,0.01102191
3.949348,0.008140634
3.985799,0.006154175
4.019648,0.005748109
4.05343,0.006564061
4.084665,0.00841033
4.120421,0.01119619
4.151841,0.01515168
4.187464,0.0214085
4.219724,0.02955384
4.257702,0.03990773
4.286107,0.05137274
4.321071,0.06514703
4.349081,0.07954116
4.384329,0.09409363
4.421647,0.1110607
4.453145,0.1259588
4.485907,0.1404964
4.517342,0.1546612
4.556408,0.1663328
4.589903,0.178833
4.622166,0.1907015
4.658323,0.2021338
4.692599,0.2126325
4.728683,0.2214351
4.761454,0.2279162
4.794768,0.2337584
4.827421,0.2381957
4.864605,0.2410336
4.897431,0.2445345
4.9309,0.246189
4.962714,0.2471206
4.998647,0.2476491
5.030107,0.2466799
5.064409,0.2459522
5.096447,0.2456953
5.128448,0.2455007
5.161308,0.2455001
5.194225,0.2452191
5.23107,0.2442114
5.268715,0.2430802
5.296081,0.2420181
5.330471,0.2414966
5.363462,0.2412263
5.40153,0.2412126
5.430341,0.2417408
5.463287,0.2413688
5.498091,0.2419357
5.533383,0.2426385
5.566521,0.242898
5.603889,0.2432908
5.635911,0.2430876
5.663116,0.2428101
5.701914,0.2427187
5.733387,0.2418299
5.765009,0.241038
5.799568,0.2381613
5.831427,0.234976
5.865765,0.2322328
5.896794,0.228719
5.932235,0.2267575
5.965713,0.2244955
5.999713,0.2211344
6.032424,0.2181143
6.067657,0.2153777
6.099036,0.2124573
6.136111,0.2100833
6.171978,0.2066741
6.204519,0.2015601
6.236707,0.1965108
6.271898,0.191883
6.307307,0.188041
6.342613,0.1858462
6.377769,0.1830614
6.414872,0.1802429
6.45314,0.1776385
6.492623,0.175478
6.521217,0.1739856
6.55278,0.1732073
6.589217,0.1726508
6.626886,0.1721177
6.659685,0.1721304
6.694201,0.1723226
6.725458,0.1733555
6.75803,0.1745722
6.791306,0.1759607
6.827363,0.1768757
6.860328,0.177307
6.892272,0.1777876
6.927761,0.1782114
6.961117,0.1788454
6.999062,0.1794436
7.030379,0.1796128
7.063435,0.17991
7.09792,0.1801759
7.128648,0.179591
7.165918,0.1800965
7.201575,0.1818787
7.234078,0.1799361
7.267439,0.1788033
7.30303,0.1770293
7.335096,0.1739228
7.371006,0.1755315
7.406827,0.1775028
7.441122,0.1796938
7.475825,0.1821201
7.511358,0.1840364
7.544881,0.1861724
7.581915,0.1883763
7.618244,0.1907555
7.654403,0.1931164
7.690279,0.1944387
7.722167,0.1949907
7.757989,0.1974011
7.794088,0.2020185
7.828887,0.2071134
7.861019,0.2130444
7.897828,0.2175536
7.931393,0.2197266
7.966238,0.2225869
7.998507,0.2257675
8.031816,0.2283586
8.067948,0.2314954
8.102429,0.233842
8.134361,0.2369283
8.169208,0.2403143
8.202638,0.243968
8.234674,0.2486031
8.27011,0.2529853
8.306341,0.2571517
8.338902,0.2598216
8.371291,0.2607925
8.403549,0.2595949
8.440043,0.2573922
8.47192,0.2543981
8.507734,0.2503218
8.54018,0.2449592
8.580856,0.2376857
8.606754,0.2284668
8.640844,0.2175973
8.677922,0.2053242
8.709458,0.190999
8.741909,0.1747971
8.778449,0.1561394
8.814566,0.1354123
