Time, Nose_Y
1.50504,-0.4676262
1.536344,0.01143497
1.553747,0.03918286
1.594716,-0.0321288
1.625802,-0.03549204
1.670062,-0.1066518
1.690908,-0.1083396
1.731111,-0.1078695
1.766839,-0.1062297
1.80275,-0.1048476
1.83052,-0.10797
1.863012,-0.111395
1.89216,-0.1131836
1.93014,-0.1134341
1.95806,-0.1181937
1.99281,-0.1162949
2.025804,-0.1133026
2.065733,-0.1108147
2.097706,-0.1113989
2.134626,-0.1062549
2.16595,-0.1044321
2.199162,-0.1076956
2.232747,-0.1127016
2.264527,-0.1163447
2.296927,-0.1191054
2.331166,-0.117171
2.362757,-0.1137698
2.398151,-0.1115931
2.433692,-0.1099795
2.470123,-0.1088505
2.501185,-0.1090741
2.536638,-0.1099864
2.563098,-0.1112468
2.600589,-0.1116886
2.631046,-0.1112634
2.666334,-0.1104555
2.700877,-0.1083251
2.736529,-0.1061499
2.77033,-0.1042543
2.806387,-0.101114
2.839471,-0.09788406
2.877653,-0.09348881
2.911422,-0.08648624
2.946938,-0.07846592
2.977929,-0.07034531
3.014647,-0.06190543
3.050416,-0.05686427
3.082414,-0.05479272
3.112685,-0.05670113
3.14488,-0.06482799
3.179529,-0.07928348
3.213739,-0.09929055
3.244714,-0.1245502
3.279222,-0.153167
3.310216,-0.1837614
3.342746,-0.2166211
3.378157,-0.2506897
3.410788,-0.2855901
3.445691,-0.3200472
3.478946,-0.3548792
3.514533,-0.3869877
3.546054,-0.4138557
3.581457,-0.4348311
3.613534,-0.448844
3.651807,-0.4570721
3.684927,-0.4611072
3.715176,-0.4621653
3.747881,-0.4613163
3.783113,-0.4601362
3.81376,-0.4606136
3.855159,-0.4628624
3.87806,-0.464542
3.912611,-0.4661068
3.949348,-0.4661233
3.985799,-0.4655486
4.019648,-0.466713
4.05343,-0.4672859
4.084665,-0.4689688
4.120421,-0.4699496
4.151841,-0.4693356
4.187464,-0.4689148
4.219724,-0.4685783
4.257702,-0.4685071
4.286107,-0.4673674
4.321071,-0.467118
4.349081,-0.466648
4.384329,-0.4656207
4.421647,-0.4671749
4.453145,-0.4663256
4.485907,-0.4655491
4.517342,-0.4650994
4.556408,-0.4630191
4.589903,-0.4626877
4.622166,-0.4623897
4.658323,-0.4628941
4.692599,-0.4630695
4.728683,-0.4632019
4.761454,-0.4628227
4.794768,-0.4609426
4.827421,-0.459317
4.864605,-0.4577989
4.897431,-0.4553263
4.9309,-0.4539328
4.962714,-0.4527164
4.998647,-0.451887
5.030107,-0.4520936
5.064409,-0.452555
5.096447,-0.4533641
5.128448,-0.453756
5.161308,-0.4541571
5.194225,-0.4538054
5.23107,-0.4529249
5.268715,-0.4518759
5.296081,-0.4506148
5.330471,-0.4504273
5.363462,-0.4508298
5.40153,-0.4517394
5.430341,-0.4533526
5.463287,-0.4535779
5.498091,-0.4543514
5.533383,-0.4549141
5.566521,-0.455229
5.603889,-0.4561051
5.635911,-0.4566048
5.663116,-0.4572493
5.701914,-0.4580478
5.733387,-0.4587082
5.765009,-0.4587851
5.799568,-0.4587988
5.831427,-0.4590881
5.865765,-0.4598112
5.896794,-0.460801
5.932235,-0.4614357
5.965713,-0.4609916
5.999713,-0.4617271
6.032424,-0.4620203
6.067657,-0.4622647
6.099036,-0.463132
6.136111,-0.4622709
6.171978,-0.4618391
6.204519,-0.4614913
6.236707,-0.4612085
6.271898,-0.4611055
6.307307,-0.4612506
6.342613,-0.461548
6.377769,-0.4607979
6.414872,-0.4603245
6.45314,-0.4598047
6.492623,-0.4594852
6.521217,-0.4600421
6.55278,-0.4610476
6.589217,-0.4620144
6.626886,-0.4628573
6.659685,-0.4636544
6.694201,-0.4638753
6.725458,-0.4641164
6.75803,-0.4641669
6.791306,-0.4639212
6.827363,-0.4639482
6.860328,-0.4636456
6.892272,-0.4631394
6.927761,-0.4633532
6.961117,-0.4634574
6.999062,-0.4637011
7.030379,-0.4641944
7.063435,-0.4646433
7.09792,-0.4648793
7.128648,-0.465007
7.165918,-0.4689569
7.201575,-0.4726548
7.234078,-0.472906
7.267439,-0.4739098
7.30303,-0.4720286
7.335096,-0.4697849
7.371006,-0.4710012
7.406827,-0.4717089
7.441122,-0.4716261
7.475825,-0.4718195
7.511358,-0.4718588
7.544881,-0.4718591
7.581915,-0.4716812
7.618244,-0.4715291
7.654403,-0.4710991
7.690279,-0.4703461
7.722167,-0.4712623
7.757989,-0.4745672
7.794088,-0.4764335
7.828887,-0.4772349
7.861019,-0.4758509
7.897828,-0.4716373
7.931393,-0.4689842
7.966238,-0.4670271
7.998507,-0.4658434
8.031816,-0.4648458
8.067948,-0.4638363
8.102429,-0.4633996
8.134361,-0.4624882
8.169208,-0.4611751
8.202638,-0.4598512
8.234674,-0.4582454
8.27011,-0.4569512
8.306341,-0.4560565
8.338902,-0.4555898
8.371291,-0.454183
8.403549,-0.4529877
8.440043,-0.4521777
8.47192,-0.450899
8.507734,-0.4522426
8.54018,-0.4536986
8.580856,-0.4551918
8.606754,-0.4577102
8.640844,-0.4590154
8.677922,-0.4598521
8.709458,-0.4605478
8.741909,-0.4597783
8.778449,-0.4580101
8.814566,-0.4552073
8.850333,-0.451197
8.883898,-0.4474404
8.919714,-0.4434683
8.955318,-0.4407957
8.986584,-0.4394416
9.018457,-0.4394905
9.054518,-0.441339
9.092321,-0.4434597
9.124497,-0.4461885
9.160652,-0.4490222
9.196793,-0.4510553
9.231955,-0.4534209
9.264508,-0.4555106
9.305629,-0.4571642
9.338034,-0.4589499
9.377733,-0.4610307
9.41039,-0.4631305
9.445821,-0.4649068
9.48117,-0.4663047
9.516063,-0.4669264
9.548945,-0.4663561
9.585188,-0.4650126
9.616914,-0.4642014
9.652282,-0.4621366
9.687609,-0.4607079
9.724254,-0.4596311
9.759755,-0.4577185
9.789574,-0.4572871
9.825217,-0.4566187
9.862797,-0.4557138
9.890396,-0.455514
9.925343,-0.4540673
9.962103,-0.4526954
9.996546,-0.4523003
10.03042,-0.4511634
10.06721,-0.4510788
10.09803,-0.4526318
10.13323,-0.4534522
10.16539,-0.4555024
10.20196,-0.4576634
10.23393,-0.4582559
10.26677,-0.4596159
10.302,-0.4602757
10.33659,-0.4609074
10.36825,-0.4621145
10.40073,-0.4630443
10.43485,-0.4648354
10.46677,-0.4658619
10.50285,-0.4665652
10.53932,-0.4679114
10.56759,-0.4706746
10.60214,-0.4752004
10.63823,-0.4800917
10.67084,-0.4846284
10.70253,-0.486031
10.73447,-0.486253
10.76969,-0.4869279
10.80246,-0.4859145
10.83547,-0.4856312
10.86823,-0.4848144
10.90223,-0.4833965
10.93581,-0.4826731
10.97163,-0.4822446
11.00445,-0.4821029
11.0358,-0.4815797
11.06726,-0.4811021
11.10086,-0.4800783
11.13691,-0.4789947
11.16946,-0.4779879
11.20202,-0.4768263
11.23534,-0.4758598
11.26714,-0.474726
11.29912,-0.4735286
11.33573,-0.4722002
11.36849,-0.4711372
11.40331,-0.4692336
11.43489,-0.4669497
11.46721,-0.4652967
11.50043,-0.4634888
11.53296,-0.4623871
11.56502,-0.4614366
11.6018,-0.4602442
11.63521,-0.4581355
11.66653,-0.4564258
11.70225,-0.4550387
11.7343,-0.4537049
11.77205,-0.4534136
11.80022,-0.4530793
11.83644,-0.4527093
11.86888,-0.4525029
11.90168,-0.4523236
11.93469,-0.4523046
11.96663,-0.452275
11.99945,-0.4523855
12.03461,-0.4526851
12.06953,-0.4531232
12.1021,-0.4540841
12.13721,-0.4544524
12.16864,-0.4550777
12.20041,-0.4557114
12.23272,-0.4556459
12.26457,-0.4564552
12.30231,-0.45729
12.33715,-0.4577949
12.37287,-0.4585813
12.40598,-0.4590485
12.44184,-0.4595458
12.47759,-0.4599706
12.50935,-0.4604624
12.54068,-0.4610987
12.5807,-0.4614456
12.61509,-0.4615575
12.65102,-0.4617918
12.68062,-0.4618335
12.71468,-0.4616674
12.75219,-0.4621309
12.78899,-0.4620241
12.82606,-0.4618205
12.85867,-0.4611394
12.89363,-0.4608605
12.92839,-0.4604707
12.96105,-0.4606469
12.99606,-0.4609542
13.03269,-0.4608335
13.06991,-0.462172
13.10131,-0.4633548
13.13727,-0.4658052
13.17013,-0.4676676
13.20632,-0.4688059
13.23573,-0.4700263
13.27192,-0.4707284
13.30562,-0.4719794
13.33922,-0.4726172
13.37295,-0.4725914
13.40671,-0.4724799
13.43851,-0.4723763
13.46758,-0.4727868
13.50691,-0.4736091
13.53896,-0.4738983
13.57178,-0.4743256
13.60476,-0.4740795
13.64073,-0.4733792
13.67714,-0.4731766
13.70732,-0.4730845
13.74188,-0.4735287
13.78078,-0.4742892
13.81378,-0.4743751
13.84774,-0.4745346
13.88325,-0.4749908
13.91567,-0.4751776
13.94834,-0.4761803
13.98483,-0.4769148
14.02019,-0.4775289
14.05542,-0.4782571
14.08875,-0.4780427
14.12462,-0.4776684
14.15798,-0.4775347
14.1892,-0.4771468
14.22526,-0.4770052
14.26087,-0.4771422
14.29628,-0.4769914
14.32513,-0.4776173
14.36231,-0.4775699
14.39546,-0.4749921
