Time, Nose_Z
1.50504,4.253826
1.536344,3.777122
1.553747,3.766882
1.594716,1.395268
1.625802,1.401958
1.670062,2.444849
1.690908,1.958092
1.731111,1.944506
1.766839,1.942818
1.80275,1.939149
1.83052,1.943377
1.863012,1.957634
1.89216,1.956951
1.93014,1.959101
1.95806,1.95394
1.99281,1.951112
2.025804,1.94964
2.065733,1.944322
2.097706,1.946
2.134626,1.936454
2.16595,1.927322
2.199162,1.9258
2.232747,1.929708
2.264527,1.937527
2.296927,1.94198
2.331166,1.94295
2.362757,1.946846
2.398151,1.946885
2.433692,1.951731
2.470123,1.955608
2.501185,1.95866
2.536638,1.961554
2.563098,1.961834
2.600589,1.96032
2.631046,1.956676
2.666334,1.950227
2.700877,1.942764
2.736529,1.931993
2.77033,1.918488
2.806387,1.903008
2.839471,1.884104
2.877653,1.863901
2.911422,1.842792
2.946938,1.820884
2.977929,1.800402
3.014647,1.77984
3.050416,1.761167
3.082414,1.745857
3.112685,1.736502
3.14488,1.727724
3.179529,1.719544
3.213739,1.713428
3.244714,1.705614
3.279222,1.703508
3.310216,1.705404
3.342746,1.707564
3.378157,1.710564
3.410788,1.714949
3.445691,1.719427
3.478946,1.724691
3.514533,1.729307
3.546054,1.734268
3.581457,1.738791
3.613534,1.743683
3.651807,1.748867
3.684927,1.752364
3.715176,1.755489
3.747881,1.757622
3.783113,1.758489
3.81376,1.757196
3.855159,1.755198
3.87806,1.751655
3.912611,1.747242
3.949348,1.741314
3.985799,1.733935
4.019648,1.726052
4.05343,1.717528
4.084665,1.709863
4.120421,1.70046
4.151841,1.690183
4.187464,1.679239
4.219724,1.668326
4.257702,1.658784
4.286107,1.648679
4.321071,1.640509
4.349081,1.631036
4.384329,1.619934
4.421647,1.611162
4.453145,1.60104
4.485907,1.592285
4.517342,1.584994
4.556408,1.576789
4.589903,1.569214
4.622166,1.561129
4.658323,1.553076
4.692599,1.545233
4.728683,1.53583
4.761454,1.528124
4.794768,1.520452
4.827421,1.513103
4.864605,1.50892
4.897431,1.501576
4.9309,1.495943
4.962714,1.491503
4.998647,1.485706
5.030107,1.483578
5.064409,1.480862
5.096447,1.47818
5.128448,1.476164
5.161308,1.473733
5.194225,1.472519
5.23107,1.471404
5.268715,1.471053
5.296081,1.471906
5.330471,1.473021
5.363462,1.474131
5.40153,1.475484
5.430341,1.475983
5.463287,1.476954
5.498091,1.477324
5.533383,1.478572
5.566521,1.480106
5.603889,1.48081
5.635911,1.482646
5.663116,1.48372
5.701914,1.48466
5.733387,1.485283
5.765009,1.485216
5.799568,1.483381
5.831427,1.482636
5.865765,1.481645
5.896794,1.48054
5.932235,1.480516
5.965713,1.479229
5.999713,1.477314
6.032424,1.476667
6.067657,1.476083
6.099036,1.47559
6.136111,1.475139
6.171978,1.474158
6.204519,1.473551
6.236707,1.472428
6.271898,1.472622
6.307307,1.471426
6.342613,1.469543
6.377769,1.469444
6.414872,1.469032
6.45314,1.469161
6.492623,1.469892
6.521217,1.469642
6.55278,1.469222
6.589217,1.469635
6.626886,1.470108
6.659685,1.470392
6.694201,1.471638
6.725458,1.473292
6.75803,1.475312
6.791306,1.477529
6.827363,1.478921
6.860328,1.479831
6.892272,1.48029
6.927761,1.481302
6.961117,1.482479
6.999062,1.48419
7.030379,1.486496
7.063435,1.488522
7.09792,1.490477
7.128648,1.492609
7.165918,1.496725
7.201575,1.499828
7.234078,1.501906
7.267439,1.501678
7.30303,1.499104
7.335096,1.497666
7.371006,1.497384
7.406827,1.498122
7.441122,1.498511
7.475825,1.498634
7.511358,1.498928
