Time, Nose_Velocity
1.50504,884.53
1.536344,23.24994
1.553747,7.362529
1.594716,669.4497
1.625802,1.236578
1.670062,111.2816
1.690908,127.8731
1.731111,3.133294
1.766839,0.6123237
1.80275,1.001598
1.83052,1.725849
1.863012,3.554818
1.89216,0.7816761
1.93014,0.5375283
1.95806,11.01963
1.99281,1.112968
2.025804,1.157882
2.065733,1.226041
2.097706,12.15947
2.134626,2.935018
2.16595,2.544132
2.199162,1.133735
2.232747,2.253699
2.264527,2.118804
2.296927,2.41683
2.331166,0.8670967
2.362757,1.260385
2.398151,1.84139
2.433692,1.307689
2.470123,1.174114
2.501185,1.367516
2.536638,1.181392
2.563098,1.498579
2.600589,1.346265
2.631046,1.429081
2.666334,1.961872
2.700877,1.640559
2.736529,2.442144
2.77033,2.647939
2.806387,4.293239
2.839471,3.998894
2.877653,4.944949
2.911422,5.695515
2.946938,6.667152
2.977929,6.110476
3.014647,6.050301
3.050416,4.422467
3.082414,3.859232
3.112685,3.380561
3.14488,3.257096
3.179529,3.892071
3.213739,4.353915
3.244714,5.941288
3.279222,6.230578
3.310216,6.9405
3.342746,8.036818
3.378157,9.320005
3.410788,7.562761
3.445691,8.457834
3.478946,8.393875
3.514533,7.507191
3.546054,6.620988
3.581457,5.191218
3.613534,3.684946
3.651807,2.465837
3.684927,1.313148
3.715176,1.009527
3.747881,1.188135
3.783113,1.005753
3.81376,1.242498
3.855159,1.365507
3.87806,1.603176
3.912611,1.610613
3.949348,1.611273
3.985799,2.040715
4.019648,1.746655
4.05343,2.545543
4.084665,2.031948
4.120421,2.549563
4.151841,2.710511
4.187464,4.074206
4.219724,2.944726
4.257702,3.20676
4.286107,3.443533
4.321071,3.756461
4.349081,4.023579
4.384329,4.070292
4.421647,4.511972
4.453145,4.676229
4.485907,3.793831
4.517342,4.200593
4.556408,3.243222
4.589903,3.275208
4.622166,3.607059
4.658323,3.297071
4.692599,2.909921
4.728683,3.695609
4.761454,2.290514
4.794768,2.714888
4.827421,2.179247
4.864605,1.169618
4.897431,1.952586
4.9309,1.497863
4.962714,1.250362
4.998647,1.336206
5.030107,0.5308213
5.064409,0.7146806
5.096447,0.7652059
5.128448,0.5498872
5.161308,0.5725859
5.194225,0.307783
5.23107,0.3944888
5.268715,0.3403035
5.296081,0.4819913
5.330471,0.3069319
5.363462,0.3219299
5.40153,0.3411713
5.430341,0.4066373
5.463287,0.2414621
5.498091,0.2642466
5.533383,0.407757
5.566521,0.3697024
5.603889,0.2945058
5.635911,0.434557
5.663116,0.344085
5.701914,0.247503
5.733387,0.3335373
5.765009,0.1863317
5.799568,0.7914414
5.831427,0.8157471
5.865765,0.6633641
5.896794,0.9515101
5.932235,0.4640388
5.965713,0.5519744
5.999713,0.9197476
6.032424,0.6625703
6.067657,0.7027262
6.099036,0.6824505
6.136111,0.5263528
6.171978,0.7743374
6.204519,1.114717
6.236707,1.267431
6.271898,1.293983
6.307307,1.004368
6.342613,0.683117
6.377769,0.7271953
6.414872,0.6357821
6.45314,0.5578521
6.492623,0.2126446
6.521217,0.37065
6.55278,0.3061874
6.589217,0.2743188
6.626886,0.2521271
6.659685,0.1928165
6.694201,0.3382324
6.725458,0.4686927
6.75803,0.6202514
6.791306,0.5964109
6.827363,0.4052102
6.860328,0.2532022
6.892272,0.2098854
6.927761,0.2702684
6.961117,0.315328
6.999062,0.3988292
7.030379,0.5686706
7.063435,0.5170863
7.09792,0.4168734
7.128648,0.5473558
7.165918,1.329492
7.201575,1.277816
7.234078,0.6449027
7.267439,0.3331155
7.30303,0.8267809
7.335096,0.9710346
7.371006,0.5253732
7.406827,0.6390286
7.441122,0.509046
7.475825,0.6600263
7.511358,0.511854
7.544881,0.5516948
7.581915,0.5823628
7.618244,0.6601323
7.654403,0.9335399
7.690279,1.213792
7.722167,0.5489962
7.757989,2.029006
7.794088,1.144954
7.828887,1.395053
7.861019,1.490626
7.897828,1.513715
7.931393,0.9871094
7.966238,1.025329
7.998507,0.8567557
8.031816,0.6414449
8.067948,0.753638
8.102429,0.6096657
8.134361,0.7514401
8.169208,0.9852815
8.202638,0.9482636
8.234674,1.211007
8.27011,1.019835
8.306341,0.9625379
8.338902,0.6013165
8.371291,0.375592
8.403549,0.4494177
8.440043,0.7234778
8.47192,1.178349
8.507734,1.393193
8.54018,1.66355
8.580856,2.06489
8.606754,2.507344
8.640844,3.559135
8.677922,3.04219
8.709458,3.378781
8.741909,4.420444
8.778449,4.550393
8.814566,4.776114
8.850333,5.769934
8.883898,5.201656
8.919714,5.845172
8.955318,5.513679
8.986584,6.755788
9.018457,5.893344
9.054518,5.877616
9.092321,5.596909
9.124497,3.830804
9.160652,3.90208
9.196793,2.989643
9.231955,2.691162
9.264508,2.499776
9.305629,2.050268
9.338034,1.627952
9.377733,2.006872
9.41039,1.251115
9.445821,0.9282181
9.48117,1.007724
9.516063,0.5116565
9.548945,0.1450168
9.585188,0.4203082
9.616914,0.3704889
9.652282,0.7921469
9.687609,0.8296689
9.724254,1.834694
9.759755,0.4214562
9.789574,2.409006
9.825217,3.463344
9.862797,2.60838
9.890396,3.150067
9.925343,4.768169
9.962103,3.903109
9.996546,4.636261
10.03042,4.408692
10.06721,5.11704
10.09803,4.867112
10.13323,6.238621
10.16539,4.976577
10.20196,4.685645
10.23393,3.931068
10.26677,4.034081
10.302,3.92238
10.33659,3.278625
10.36825,2.842056
10.40073,2.791249
10.43485,2.226958
10.46677,1.973149
10.50285,2.114635
10.53932,2.408481
10.56759,4.258533
10.60214,5.624795
10.63823,4.692534
10.67084,5.438111
10.70253,4.952386
10.73447,3.869268
10.76969,3.00402
10.80246,2.109184
10.83547,1.711164
10.86823,1.673694
10.90223,1.048148
10.93581,1.242686
10.97163,0.9114366
11.00445,0.7483065
11.0358,0.5948319
11.06726,0.5513353
11.10086,0.5603126
11.13691,0.408012
11.16946,0.5555008
11.20202,0.5379135
11.23534,0.6471649
11.26714,1.063302
11.29912,1.613643
11.33573,2.287526
11.36849,2.846868
11.40331,5.048423
11.43489,5.210398
11.46721,4.708623
11.50043,5.79977
11.53296,4.299319
11.56502,3.798315
11.6018,3.010777
11.63521,2.224347
11.66653,1.728426
11.70225,0.7889795
11.7343,0.7304356
11.77205,0.2927825
11.80022,0.3717273
11.83644,0.4712672
11.86888,0.4309102
11.90168,0.5253894
11.93469,0.5331839
11.96663,0.4238957
11.99945,0.3599304
12.03461,0.3377611
12.06953,0.4474806
12.1021,0.4127026
12.13721,0.4631481
12.16864,0.4926327
12.20041,0.8058464
12.23272,0.7854578
12.26457,0.8690127
12.30231,0.8255807
12.33715,0.9934848
12.37287,1.000377
12.40598,1.20116
12.44184,0.8338966
12.47759,0.7579817
12.50935,0.6428041
12.54068,0.574815
12.5807,0.5740115
12.61509,0.4786803
12.65102,0.2592838
12.68062,0.2230294
12.71468,0.1302008
12.75219,0.4848088
12.78899,0.5261018
12.82606,0.4191337
12.85867,0.5820926
12.89363,0.6149498
12.92839,0.4527826
12.96105,0.490798
12.99606,0.7847857
13.03269,0.6380102
13.06991,0.9353036
13.10131,0.989287
13.13727,1.421372
13.17013,1.343916
13.20632,1.660331
13.23573,1.632098
13.27192,1.260718
13.30562,1.812933
13.33922,1.133143
13.37295,0.6431801
13.40671,0.7895639
13.43851,0.5356321
13.46758,0.3788343
13.50691,0.531476
13.53896,0.2930844
13.57178,0.3443832
13.60476,0.0995127
13.64073,0.3398266
13.67714,0.3901122
13.70732,0.3384365
13.74188,0.3749279
13.78078,0.3344644
13.81378,0.3949235
13.84774,0.8208959
13.88325,0.7957727
13.91567,0.941651
13.94834,0.7446113
13.98483,0.6993495
14.02019,0.8704239
14.05542,0.8061616
14.08875,1.067842
14.12462,0.9310246
14.15798,0.812267
14.1892,0.9922816
14.22526,1.413725
14.26087,2.147375
14.29628,2.055261
14.32513,2.440443
14.36231,3.5023
14.39546,3.524333
14.42864,3.257483
14.46643,4.580715
14.50481,1.426828
14.53022,5.293487
14.56343,5.97452
14.60013,5.299136
14.63641,3.906695
14.6676,4.630872
14.70423,4.245031
14.74207,4.310412
14.77656,5.826867
14.81421,4.647334
14.84681,4.358513
14.88603,2.580717
14.91851,1.637238
14.95566,1.323036
14.99181,1.397293
15.02774,0.8081903
15.06196,0.2378643
15.0959,0.2354143
15.1333,0.6510829
15.16558,0.8222694
15.19862,0.7829232
15.23563,12.98373
15.26984,14.64769
15.30545,16.00915
15.34143,6.312331
15.37942,15.05106
15.41149,18.14186
15.45073,14.82372
15.49079,0.4875392
15.52648,0.1701681
15.56392,0.1558511
15.60278,0.109481
15.63979,0.04778971
15.67235,0.05081563
15.71234,0.08427452
15.74775,0.03513554
15.78468,0.04361411
15.82269,0.08949628
15.85556,0.3643912
15.89816,0.4812838
15.92947,1.099967
15.96351,1.10525
16.00144,1.342622
16.03782,1.302996
16.0792,0.8608757
16.11243,9.047843
16.14848,8.548066
16.18604,10.10227
16.22135,8.882145
16.25937,1.108137
16.29473,1.832804
16.32807,2.235708
16.36395,4.699717
16.39456,5.802111
16.43008,6.543963
16.46973,6.407054
16.50103,6.230072
16.53407,6.23996
16.56527,4.323638
16.60163,4.165098
16.63111,3.575101
16.67001,1.110434
16.69552,3.496856
16.7258,4.315805
16.75912,3.445481
16.79141,3.053608
16.82597,3.490183
16.85799,2.415103
16.89598,1.96548
16.93141,2.026669
16.9624,1.309482
16.99501,2.884594
17.02619,2.111577
17.06544,1.28906
17.10083,1.979753
17.13303,4.706515
17.16581,0.4956594
17.19875,0.8436415
17.23265,0.8733974
17.26359,1.840651
17.30341,1.506277
17.33463,1.342119
17.36739,1.788977
17.39946,2.097082
17.43183,1.592091
17.46589,2.072803
17.50274,1.388569
17.53643,1.986177
17.56826,1.770276
17.60041,2.082474
17.63418,2.616989
17.66976,1.74084
17.70392,1.934556
17.73723,7.969009
17.76527,8.450825
17.80255,4.997934
17.83477,3.898
17.86619,9.114412
17.8942,9.183835
17.93293,7.876095
17.96564,2.623393
17.99827,3.872503
18.03183,3.140792
18.06733,3.280891
18.09868,3.590076
18.13072,4.077105
18.16549,3.971731
18.19843,3.071365
18.23043,2.536703
18.26702,2.165838
18.2993,2.023256
18.33489,1.697742
18.36587,1.845937
18.40099,1.90717
18.43283,2.081337
18.4682,1.977975
18.5,1.11412
18.53201,0.7121925
18.56718,1.528892
18.60141,1.391039
18.63199,1.372656
18.66506,1.638576
18.69833,0.6069691
18.74112,0.1496973
18.76039,0.8047631
18.79517,0.6743083
18.82638,0.8374822
18.86209,1.386625
18.89906,1.22308
18.92785,1.629176
18.96461,1.540309
18.99188,1.21157
19.02887,0.699457
19.06634,0.4647613
19.09498,0.7097537
19.13222,0.450711
19.16409,0.5516643
19.20087,0.8132151
19.23401,1.306988
19.26575,1.630818
19.29973,2.603046
19.33069,2.186142
19.36525,2.301684
19.40137,1.844043
19.4294,1.444462
19.46621,1.452581
19.49885,0.6304221
19.53439,0.6505721
19.56777,0.5513963
19.60051,0.540822
19.63378,0.679617
19.6654,0.5861121
19.69747,0.745069
19.73384,0.9678202
19.76135,0.9577233
19.79255,0.8217055
19.82531,0.7221981
19.86273,1.106596
19.90002,0.7288262
19.93526,0.9199378
19.96845,0.9095771
20.00019,0.3923965
20.03476,0.6663924
20.07142,0.626151
20.10197,0.7123327
20.13416,0.5700862
20.16954,0.651527
20.19666,0.8250269
20.233,0.7636535
20.26977,0.7137266
20.30245,0.536097
20.33454,0.5157053
20.367,0.3775122
20.40422,0.2994323
20.43289,0.4100872
20.46975,0.1593717
20.50203,0.7789937
20.53446,1.509117
20.56793,1.352151
20.60231,0.8295074
20.63417,0.2131712
20.67096,1.27628
20.70271,1.366987
20.73504,1.040621
20.76754,0.9565017
20.80153,0.5190794
20.83519,0.3308306
20.87832,0.1218607
20.90559,0.332261
20.93461,1.501067
20.9689,4.05345
21.0055,5.265066
21.03444,0.2334703
21.06681,1.500671
21.10352,3.995343
21.13561,5.1176
21.16684,0.2569911
21.20257,0.5373809
21.23428,0.5751858
21.27051,0.4834219
21.30342,0.4470639
21.33944,0.04163735
21.37534,0.03730265
21.40666,0.05663641
21.43823,0.6263319
21.4778,0.6489646
21.50982,0.700779
21.54298,1.190717
21.57918,0.8792484
21.61122,1.130006
21.6451,1.054961
21.67835,0.6417628
21.71781,0.8854367
21.74867,0.8143175
21.78358,4.713435
21.81466,0.9404275
21.84554,0.8238993
21.87815,0.702002
21.91063,4.316698
21.94374,0.8328907
21.98317,0.2303764
22.01393,0.2408497
22.05076,0.2420666
22.07977,0.1839531
22.11655,0.2705086
22.14651,0.3665225
22.18431,0.4284054
22.21559,0.4344921
22.25128,0.4364695
22.28345,0.4725687
22.31911,0.2031476
22.352,0.1821163
22.38784,0.185345
22.42125,0.1340608
22.45245,0.2028591
22.49174,0.2097782
22.52316,0.2491053
22.55988,0.2631586
22.59148,0.2262287
22.62365,0.3695406
22.65607,0.315171
22.69102,0.2174038
22.72743,0.1763534
22.7602,0.2259119
22.79361,0.1267881
22.82673,0.2674702
22.863,0.1862416
22.9052,0.07535577
22.92875,0.5183924
22.9592,0.742604
22.99756,0.7892894
23.0292,0.4954009
23.06507,0.2137833
23.09721,0.6299487
23.13076,0.7524462
23.1622,1.000623
23.19677,0.8000325
23.22911,0.4398562
