Time, Pelvis_Velocity
1.50504,918.2874
1.536344,17.69514
1.553747,4.997689
1.594716,722.1392
1.625802,8.742435
1.670062,117.9077
1.690908,131.8142
1.731111,3.869865
1.766839,1.129314
1.80275,0.8481337
1.83052,0.2343061
1.863012,0.2328394
1.89216,0.6807468
1.93014,0.3240193
1.95806,0.3370998
1.99281,0.3465516
2.025804,0.7299389
2.065733,0.2747326
2.097706,0.5172437
2.134626,0.6496085
2.16595,0.2691613
2.199162,0.1087659
2.232747,0.4179031
2.264527,0.6477973
2.296927,0.9925665
2.331166,0.7639305
2.362757,0.7696535
2.398151,0.4927678
2.433692,0.2379289
2.470123,0.3976092
2.501185,0.3563277
2.536638,0.484473
2.563098,0.6897006
2.600589,0.654448
2.631046,0.706627
2.666334,0.7600297
2.700877,0.6037139
2.736529,0.5914575
2.77033,0.5209674
2.806387,0.887437
2.839471,0.7216271
2.877653,0.9424976
2.911422,1.000045
2.946938,0.8474288
2.977929,0.6102456
3.014647,0.6245189
3.050416,0.5013088
3.082414,0.9057362
3.112685,1.833345
3.14488,2.335133
3.179529,4.265685
3.213739,4.808507
3.244714,6.044646
3.279222,6.085491
3.310216,5.27602
3.342746,5.650794
3.378157,6.728132
3.410788,6.248982
3.445691,7.42176
3.478946,7.299392
3.514533,5.996507
3.546054,5.509949
3.581457,5.039834
3.613534,3.705792
3.651807,3.232911
3.684927,2.832479
3.715176,2.083315
3.747881,3.281536
3.783113,2.872448
3.81376,2.295765
3.855159,2.492605
3.87806,2.179199
3.912611,1.969171
3.949348,1.847271
3.985799,1.689687
4.019648,1.334599
4.05343,1.804073
4.084665,1.385917
4.120421,1.802196
4.151841,1.817512
4.187464,2.696415
4.219724,2.248941
4.257702,2.517775
4.286107,2.906768
4.321071,3.325323
4.349081,3.204314
4.384329,3.023838
4.421647,3.017565
4.453145,3.086166
4.485907,2.934205
4.517342,3.694967
4.556408,3.019007
4.589903,2.964259
4.622166,2.659684
4.658323,2.039879
4.692599,2.108424
4.728683,2.198545
4.761454,1.429422
4.794768,1.821292
4.827421,1.04931
4.864605,0.6734794
4.897431,1.527569
4.9309,1.149498
4.962714,1.372567
4.998647,1.68916
5.030107,1.0324
5.064409,1.291055
5.096447,1.386194
5.128448,0.9212606
5.161308,0.5128054
5.194225,0.4755068
5.23107,0.5612583
5.268715,0.87367
5.296081,1.438996
5.330471,1.29507
5.363462,1.508042
5.40153,1.044186
5.430341,1.20962
5.463287,1.396118
5.498091,1.493844
5.533383,1.077508
5.566521,0.8744059
5.603889,0.5890308
5.635911,0.365386
5.663116,0.2178361
5.701914,0.176081
5.733387,0.3990415
5.765009,0.7090864
5.799568,0.8837545
5.831427,1.048636
5.865765,1.036192
5.896794,0.7185064
5.932235,0.6816038
5.965713,0.7309669
5.999713,1.42146
6.032424,1.874285
6.067657,2.298477
6.099036,1.810054
6.136111,1.044511
6.171978,0.6342118
6.204519,0.7235504
6.236707,0.550543
6.271898,0.437032
6.307307,0.5861909
6.342613,0.8128333
6.377769,0.5069582
6.414872,0.4247153
6.45314,0.2886107
6.492623,0.08278225
6.521217,0.1946995
6.55278,0.2143794
6.589217,0.2409137
6.626886,0.3313426
6.659685,0.2898989
6.694201,0.2221845
6.725458,0.366219
6.75803,0.8102001
6.791306,0.6950548
6.827363,0.7098082
6.860328,0.4994574
6.892272,0.2623088
6.927761,0.3573056
6.961117,0.3488258
6.999062,0.2872051
7.030379,0.4497848
7.063435,0.5145479
7.09792,0.3812593
7.128648,0.7921803
7.165918,1.234373
7.201575,0.7271776
7.234078,0.2417471
7.267439,0.5040805
7.30303,0.8981184
7.335096,0.349763
7.371006,0.3881594
7.406827,0.4508746
7.441122,0.5511941
7.475825,0.7437214
7.511358,0.710351
7.544881,0.4270953
7.581915,0.2667103
7.618244,0.4332556
7.654403,0.7589627
7.690279,0.9927291
7.722167,0.7737803
7.757989,1.028122
7.794088,0.8580568
7.828887,0.7158511
7.861019,1.044756
7.897828,0.7338127
7.931393,0.7090241
7.966238,0.7482377
7.998507,0.6043106
8.031816,0.9603072
8.067948,0.940407
8.102429,0.7689174
8.134361,0.7452956
8.169208,0.6138476
8.202638,0.6449791
8.234674,0.7743073
8.27011,0.8035582
8.306341,0.9047536
8.338902,0.7980758
8.371291,0.9249015
8.403549,0.8091081
8.440043,0.6875198
8.47192,0.911929
8.507734,0.9464319
8.54018,0.9624539
8.580856,1.697504
8.606754,2.004986
8.640844,2.618127
8.677922,2.688242
8.709458,2.710292
8.741909,3.556129
8.778449,3.63708
8.814566,3.080782
8.850333,3.481871
8.883898,3.921425
8.919714,4.687837
8.955318,4.657261
8.986584,6.35275
9.018457,4.976543
9.054518,4.598206
9.092321,4.467421
9.124497,2.58493
9.160652,2.286303
9.196793,1.658121
9.231955,1.462274
9.264508,1.282362
9.305629,1.17319
9.338034,1.093121
9.377733,1.726054
9.41039,1.296927
9.445821,1.507545
9.48117,1.933818
9.516063,1.216464
9.548945,0.5442851
9.585188,0.510703
9.616914,0.3482707
9.652282,0.4525799
9.687609,0.8025355
9.724254,1.68725
9.759755,0.3601612
9.789574,2.168421
9.825217,2.831637
9.862797,2.039917
9.890396,2.823307
9.925343,4.495406
9.962103,4.136987
9.996546,4.274498
10.03042,3.885651
10.06721,4.145148
10.09803,3.859694
10.13323,5.854079
10.16539,4.638377
10.20196,4.342506
10.23393,3.233827
10.26677,3.413033
10.302,3.368288
10.33659,2.878755
10.36825,2.939022
10.40073,2.358912
10.43485,2.053676
10.46677,2.494417
10.50285,2.512957
10.53932,1.869498
10.56759,2.125813
10.60214,2.266411
10.63823,1.623997
10.67084,2.115746
10.70253,1.921167
10.73447,1.642449
10.76969,1.115547
10.80246,1.200853
10.83547,0.9363082
10.86823,1.14109
10.90223,0.7641646
10.93581,0.5427424
10.97163,0.4296372
11.00445,0.2780538
11.0358,0.3647283
11.06726,0.4824418
11.10086,0.6422281
11.13691,0.7749015
11.16946,0.7539855
11.20202,0.4204495
11.23534,0.1174155
11.26714,0.3147073
11.29912,0.4253272
11.33573,0.4400859
11.36849,0.2728481
11.40331,0.2891982
11.43489,0.1562532
11.46721,0.106073
11.50043,0.2037523
11.53296,0.3021412
11.56502,0.4516574
11.6018,0.4849314
11.63521,0.4856987
11.66653,0.5706543
11.70225,0.2293107
11.7343,0.4696729
11.77205,0.4710242
11.80022,0.7651653
11.83644,1.067415
11.86888,0.8435141
11.90168,0.6204775
11.93469,0.4445793
11.96663,0.2792187
11.99945,0.4607569
12.03461,0.4143206
12.06953,0.5333574
12.1021,0.5043979
12.13721,0.6034697
12.16864,0.7268105
12.20041,1.331576
12.23272,1.013775
12.26457,0.8269419
12.30231,0.7188729
12.33715,0.6129726
12.37287,0.6934863
12.40598,0.9913305
12.44184,0.6302924
12.47759,0.4791067
12.50935,0.3059119
