Time, Pelvis Velocity
5.899687,477.8556
5.918748,3.466258
5.944814,0.7620402
5.978718,3.777586
6.007208,2.064098
6.035791,3.646393
6.065536,1.610264
6.096747,1.100135
6.127046,1.174676
6.158947,1.157159
6.190948,0.4178222
6.216018,0.9988278
6.248839,2.23893
6.27688,2.719626
6.314065,4.060666
6.340172,3.699291
6.371361,4.030681
6.401199,3.487949
6.426745,2.834352
6.461986,1.401208
6.49188,1.053904
6.520169,1.791993
6.54871,2.357379
6.58001,2.992336
6.608823,2.142023
6.641628,0.7025443
6.671276,0.3467849
6.700942,0.8211868
6.731684,1.24118
6.759987,1.354621
6.787899,1.177118
6.819073,1.641554
6.851691,1.191821
6.882631,0.6410198
6.911826,0.6390373
6.944403,0.6790966
6.972822,1.733458
7.005626,1.75347
7.034102,1.202243
7.06425,0.6356757
7.096674,1.034778
7.126511,1.682777
7.15685,0.8673261
7.187719,1.035685
7.217829,1.041516
7.24821,1.100329
7.278955,2.195843
7.313863,1.608414
7.339173,1.476491
7.370441,1.123799
7.399327,0.7158297
7.430702,0.8516287
7.459993,0.9919252
7.489081,0.5553594
7.519034,0.8175697
7.548204,1.827645
7.578128,2.249616
7.608931,1.952898
7.639985,2.295331
7.669109,2.275362
7.697938,2.632604
7.728857,2.397962
7.761255,3.25726
7.790932,2.805097
7.818338,2.746744
7.847512,2.477419
7.879832,2.106222
7.910514,2.1458
7.940489,1.846988
7.969265,1.645735
8.000334,1.836029
8.036183,1.607809
8.068004,2.036033
8.104267,0.9354721
8.132429,1.26563
8.166758,2.779188
8.199635,3.185108
8.234844,2.7136
8.268182,1.714745
8.299829,5.120883
8.33442,5.370147
8.367262,6.273468
8.400029,4.074986
8.433665,2.534213
8.46798,1.97032
8.501432,1.455256
8.532492,0.9713392
8.567881,0.6053026
8.602442,1.134693
8.635122,0.4446764
8.66713,0.5850222
8.702991,0.9785111
8.734708,0.6268892
8.768142,0.7758254
8.800651,1.116257
8.836557,1.402459
8.867132,1.565206
8.901876,1.509533
8.934876,0.6280263
8.967792,0.5673928
9.002115,0.6104444
9.035858,0.8374509
9.069277,2.216641
9.101247,2.32282
9.133243,1.971114
9.168159,2.959801
9.202643,1.41016
9.235161,0.8722137
9.267541,1.200102
9.300942,0.6719763
9.333476,1.699179
9.366635,2.626318
9.402116,2.669672
9.433529,2.593804
9.466609,2.767876
9.500365,2.75639
9.535231,3.421386
9.566884,2.088134
9.60141,1.330897
9.633837,2.765541
9.668468,2.569508
9.700741,4.196375
9.733441,4.517296
9.76804,3.552902
9.803632,2.639825
9.834515,3.957232
9.867306,7.820464
9.902539,7.489361
9.966984,6.146551
9.999488,2.258948
10.03487,4.783348
10.06733,5.434984
10.09996,4.781914
10.13238,4.620796
10.16733,4.615575
10.20218,5.101874
10.23449,4.607261
10.26837,3.924824
10.30068,3.587307
10.33517,2.675191
10.36665,2.269239
10.39963,2.211824
10.43363,2.15534
10.46805,1.953795
10.49969,2.159637
10.53387,2.191511
10.56701,1.122448
